0.2 -1.6198402468988988 + 0.0im 1.1374158212802512
0.21 -1.619840246674765 + 0.0im 1.1374141321173274
0.22 -1.6198402464158024 + 0.0im 1.1374123480531861
0.23 -1.6198402461185095 + 0.0im 1.137410467202997
0.24 -1.6198402457792023 + 0.0im 1.1374084875701815
0.25 -1.6198402453940124 + 0.0im 1.1374064070428018
0.26 -1.6198402449588796 + 0.0im 1.1374042233896156
0.27 -1.6198402444695525 + 0.0im 1.1374019342559443
0.28 -1.619840243921583 + 0.0im 1.137399537159165
0.29 -1.6198402433103234 + 0.0im 1.1373970294839986
0.3 -1.6198402426309244 + 0.0im 1.1373944084774317
0.31 -1.6198402418783255 + 0.0im 1.1373916712432444
0.32 -1.6198402410472599 + 0.0im 1.137388814736292
0.33 -1.6198402401322385 + 0.0im 1.1373858357563449
0.34 -1.6198402391275573 + 0.0im 1.1373827309412776
0.35000000000000003 -1.619840238027284 + 0.0im 1.1373794967604778
0.36 -1.6198402368252536 + 0.0im 1.1373761295063731
0.37 -1.6198402355150787 + 0.0im 1.1373726252892913
0.38 -1.6198402340901106 + 0.0im 1.1373689800232258
0.39 -1.6198402325434669 + 0.0im 1.1373651894221897
0.4 -1.6198402308679918 + 0.0im 1.1373612489997655
0.41000000000000003 -1.6198402290563438 + 0.0im 1.1373571540025413
0.42 -1.6198402271008032 + 0.0im 1.137352899504802
0.43 -1.6198402249934518 + 0.0im 1.1373484802947154
0.44 -1.6198402227260695 + 0.0im 1.1373438909018776
0.45 -1.6198402202890585 + 0.0im 1.1373391260939498
0.46 -1.6198402176769313 + 0.0im 1.137334178472887
0.47000000000000003 -1.6198402148772695 + 0.0im 1.1373290429797902
0.48 -1.6198402118817512 + 0.0im 1.1373237125634876
0.49 -1.6198402086806296 + 0.0im 1.1373181801847778
0.5 -1.6198402052637766 + 0.0im 1.1373124383565654
0.51 -1.61984020161994 + 0.0im 1.13730647844806
0.52 -1.6198401977378836 + 0.0im 1.137300301240892
0.53 -1.6198401936135565 + 0.0im 1.1372938806078285
0.54 -1.619840189226602 + 0.0im 1.1372872196143187
0.55 -1.6198401845680777 + 0.0im 1.1372803062043082
0.56 -1.6198401796257118 + 0.0im 1.137273129801761
0.5700000000000001 -1.6198401743866058 + 0.0im 1.137265679097595
0.58 -1.619840168837039 + 0.0im 1.1372579414160018
0.59 -1.619840162961116 + 0.0im 1.1372499008128742
0.6 -1.6198401567271707 + 0.0im 1.1372415261427693
0.61 -1.6198401399666076 + 0.0im 1.1372320888170895
0.62 -1.6198401432256304 + 0.0im 1.1372240483878562
0.63 -1.6198401359528833 + 0.0im 1.1372146492458923
0.64 -1.6198401282506862 + 0.0im 1.1372049146441818
0.65 -1.6198401201280932 + 0.0im 1.1371947995851575
0.66 -1.6198401115701802 + 0.0im 1.1371842786144297
0.67 -1.6198401025586069 + 0.0im 1.1371733269753874
0.68 -1.6198400930729577 + 0.0im 1.1371619170817442
0.6900000000000001 -1.6198400830900683 + 0.0im 1.1371500158335706
0.7000000000000001 -1.6198400725816626 + 0.0im 1.1371375800676256
0.71 -1.6198400615075246 + 0.0im 1.1371245462164166
0.72 -1.6198400497918481 + 0.0im 1.1371108016125286
0.73 -1.619840037212014 + 0.0im 1.1370960814904836
0.74 -1.6198400224642038 + 0.0im 1.1370793917516733
0.75 -1.619839940896287 + 0.0im 1.1370471622361644
0.76 -1.6198399889428947 + 0.0im 1.1370635265313571
0.77 -1.6198399817049756 + 0.0im 1.13704148229096
0.78 -1.6198399673530477 + 0.0im 1.1370228671491673
0.79 -1.6198399515896071 + 0.0im 1.1370042527435718
0.8 -1.6198399348840886 + 0.0im 1.136985076015791
0.81 -1.6198399173113773 + 0.0im 1.136965122183721
0.8200000000000001 -1.6198398988681426 + 0.0im 1.1369442579176177
0.8300000000000001 -1.6198398795254323 + 0.0im 1.1369223702414462
0.84 -1.619839859240783 + 0.0im 1.1368993451353682
0.85 -1.6198398379604948 + 0.0im 1.1368750560742664
0.86 -1.6198398156179576 + 0.0im 1.136849354483597
0.87 -1.6198397921289667 + 0.0im 1.1368220586259266
0.88 -1.6198397673830363 + 0.0im 1.1367929380775414
0.89 -1.6198397412278722 + 0.0im 1.1367616898877528
0.9 -1.6198397134405342 + 0.0im 1.1367278996227084
0.91 -1.6198396836732016 + 0.0im 1.1366909736175352
0.92 -1.6198396513351303 + 0.0im 1.1366500147878091
0.93 -1.619839615332831 + 0.0im 1.1366035747747254
0.9400000000000001 -1.6198395734003106 + 0.0im 1.1365491133201087
0.9500000000000001 -1.6198395201119598 + 0.0im 1.1364816580008814
0.96 -1.619839439498502 + 0.0im 1.1363898339270424
0.97 -1.6198392657246408 + 0.0im 1.1362403250324185
0.98 -1.6198384443205618 + 0.0im 1.1358748569943524
0.99 -1.618271000023925 + 0.0im 1.2452040352066327
1.0 -1.6198384068002454 + 0.0im 1.1372100579526105
1.01 -1.6198390941347989 + 0.0im 1.136786761102059
1.02 -1.6198391921754496 + 0.0im 1.136617280722157
1.03 -1.6198391981307925 + 0.0im 1.1365074030840325
1.04 -1.619839175734146 + 0.0im 1.1364194199613509
1.05 -1.6198391406197792 + 0.0im 1.1363406287195692
1.06 -1.6198390983094157 + 0.0im 1.136265610497907
1.07 -1.619839051051513 + 0.0im 1.13619149829375
1.08 -1.6198389998651945 + 0.0im 1.1361165707432332
